[ 242.0, -36.0, 0.0 ]
[ 242.0, -35.0, 0.0 ]
[ 242.0, -34.0, 0.0 ]
[ 242.0, -33.0, 0.0 ]
[ 242.0, -32.0, 0.0 ]
[ 242.0, -31.0, 0.0 ]
[ 242.0, -30.0, 0.0 ]
[ 242.0, -29.0, 0.0 ]
[ 242.0, -28.0, 0.0 ]
[ 242.0, -27.0, 0.0 ]
[ 242.0, -26.0, 0.0 ]
[ 242.0, -25.0, 0.0 ]
[ 242.0, -24.0, 0.0 ]
[ 242.0, -23.0, 0.0 ]
[ 242.0, -22.0, 0.0 ]
[ 242.0, -21.0, 0.0 ]
[ 242.0, -20.0, 0.0 ]
[ 242.0, -19.0, 0.0 ]
[ 242.0, -18.0, 0.0 ]
[ 242.0, -17.0, 0.0 ]
[ 242.0, -16.0, 0.0 ]
[ 242.0, -15.0, 0.0 ]
[ 242.0, -14.0, 0.0 ]
[ 242.0, -13.0, 0.0 ]
[ 242.0, -12.0, 0.0 ]
[ 242.0, -11.0, 0.0 ]
[ 242.0, -10.0, 0.0 ]
[ 242.0, -9.0, 0.0 ]
[ 242.0, -8.0, 0.0 ]
[ 242.0, -7.0, 0.0 ]
[ 242.0, -6.0, 0.0 ]
[ 242.0, -5.0, 0.0 ]
[ 242.0, -4.0, 0.0 ]
[ 242.0, -3.0, 0.0 ]
[ 242.0, -2.0, 0.0 ]
[ 242.0, -1.0, 0.0 ]
[ 243.0, -1.0, 0.0 ]
[ 244.0, -1.0, 0.0 ]
[ 245.0, -1.0, 0.0 ]
[ 246.0, -1.0, 0.0 ]
[ 247.0, -1.0, 0.0 ]
[ 248.0, -1.0, 0.0 ]
[ 249.0, -1.0, 0.0 ]
[ 250.0, -1.0, 0.0 ]
[ 251.0, -1.0, 0.0 ]
[ 252.0, -1.0, 0.0 ]
[ 253.0, -1.0, 0.0 ]
[ 254.0, -1.0, 0.0 ]
[ 255.0, -1.0, 0.0 ]
[ 256.0, -1.0, 0.0 ]
[ 257.0, -1.0, 0.0 ]
[ 258.0, -1.0, 0.0 ]
[ 259.0, -1.0, 0.0 ]
[ 260.0, -1.0, 0.0 ]
[ 261.0, -1.0, 0.0 ]
[ 262.0, -1.0, 0.0 ]
[ 263.0, -1.0, 0.0 ]
[ 264.0, -1.0, 0.0 ]
[ 265.0, -1.0, 0.0 ]
[ 266.0, -1.0, 0.0 ]
[ 267.0, -1.0, 0.0 ]
[ 268.0, -1.0, 0.0 ]
[ 269.0, -1.0, 0.0 ]
[ 270.0, -1.0, 0.0 ]
[ 271.0, -1.0, 0.0 ]
[ 272.0, -1.0, 0.0 ]
[ 273.0, -1.0, 0.0 ]
[ 274.0, -1.0, 0.0 ]
[ 275.0, -1.0, 0.0 ]
[ 276.0, -1.0, 0.0 ]
[ 277.0, -1.0, 0.0 ]
[ 278.0, -1.0, 0.0 ]
[ 279.0, -1.0, 0.0 ]
[ 280.0, -1.0, 0.0 ]
[ 280.0, -2.0, 0.0 ]
[ 280.0, -3.0, 0.0 ]
[ 280.0, -4.0, 0.0 ]
[ 280.0, -5.0, 0.0 ]
[ 280.0, -6.0, 0.0 ]
[ 228.0, -2.0, 0.0 ]
[ 228.0, -1.0, 0.0 ]
[ 227.0, -1.0, 0.0 ]
[ 226.0, -1.0, 0.0 ]
[ 225.0, -1.0, 0.0 ]
[ 224.0, -1.0, 0.0 ]
[ 223.0, -1.0, 0.0 ]
[ 222.0, -1.0, 0.0 ]
[ 221.0, -1.0, 0.0 ]
[ 220.0, -2.0, 0.0 ]
[ 220.0, -3.0, 0.0 ]
[ 219.0, -4.0, 0.0 ]
[ 218.0, -5.0, 0.0 ]
[ 218.0, -6.0, 0.0 ]
[ 217.0, -7.0, 0.0 ]
[ 217.0, -8.0, 0.0 ]
[ 216.0, -9.0, 0.0 ]
[ 215.0, -10.0, 0.0 ]
[ 215.0, -11.0, 0.0 ]
[ 214.0, -12.0, 0.0 ]
[ 214.0, -13.0, 0.0 ]
[ 213.0, -14.0, 0.0 ]
[ 213.0, -15.0, 0.0 ]
[ 212.0, -16.0, 0.0 ]
[ 211.0, -17.0, 0.0 ]
[ 211.0, -18.0, 0.0 ]
[ 210.0, -19.0, 0.0 ]
[ 210.0, -20.0, 0.0 ]
[ 209.0, -21.0, 0.0 ]
[ 208.0, -22.0, 0.0 ]
[ 208.0, -23.0, 0.0 ]
[ 207.0, -24.0, 0.0 ]
[ 207.0, -25.0, 0.0 ]
[ 206.0, -26.0, 0.0 ]
[ 206.0, -27.0, 0.0 ]
[ 205.0, -28.0, 0.0 ]
[ 204.0, -29.0, 0.0 ]
[ 204.0, -30.0, 0.0 ]
[ 203.0, -31.0, 0.0 ]
[ 202.0, -31.0, 0.0 ]
[ 201.0, -31.0, 0.0 ]
[ 200.0, -31.0, 0.0 ]
[ 199.0, -31.0, 0.0 ]
[ 198.0, -31.0, 0.0 ]
[ 197.0, -31.0, 0.0 ]
[ 196.0, -31.0, 0.0 ]
[ 195.0, -31.0, 0.0 ]
[ 194.0, -31.0, 0.0 ]
[ 193.0, -31.0, 0.0 ]
[ 192.0, -31.0, 0.0 ]
[ 191.0, -31.0, 0.0 ]
[ 190.0, -31.0, 0.0 ]
[ 189.0, -31.0, 0.0 ]
[ 188.0, -31.0, 0.0 ]
[ 187.0, -30.0, 0.0 ]
[ 187.0, -29.0, 0.0 ]
[ 187.0, -28.0, 0.0 ]
[ 187.0, -27.0, 0.0 ]
[ 187.0, -26.0, 0.0 ]
[ 187.0, -25.0, 0.0 ]
[ 187.0, -24.0, 0.0 ]
[ 187.0, -23.0, 0.0 ]
[ 187.0, -22.0, 0.0 ]
[ 187.0, -21.0, 0.0 ]
[ 187.0, -20.0, 0.0 ]
[ 187.0, -19.0, 0.0 ]
[ 187.0, -18.0, 0.0 ]
[ 187.0, -17.0, 0.0 ]
[ 187.0, -16.0, 0.0 ]
[ 187.0, -15.0, 0.0 ]
[ 187.0, -14.0, 0.0 ]
[ 187.0, -13.0, 0.0 ]
[ 187.0, -12.0, 0.0 ]
[ 187.0, -11.0, 0.0 ]
[ 187.0, -10.0, 0.0 ]
