[ 476.0, -48.0, 0.0 ]
[ 476.0, -49.0, 0.0 ]
[ 476.0, -50.0, 0.0 ]
[ 476.0, -51.0, 0.0 ]
[ 431.0, -35.0, 0.0 ]
[ 431.0, -34.0, 0.0 ]
[ 431.0, -33.0, 0.0 ]
[ 431.0, -32.0, 0.0 ]
[ 431.0, -31.0, 0.0 ]
[ 431.0, -30.0, 0.0 ]
[ 431.0, -29.0, 0.0 ]
[ 431.0, -28.0, 0.0 ]
[ 431.0, -27.0, 0.0 ]
[ 431.0, -26.0, 0.0 ]
[ 431.0, -25.0, 0.0 ]
[ 431.0, -24.0, 0.0 ]
[ 431.0, -23.0, 0.0 ]
[ 431.0, -22.0, 0.0 ]
[ 431.0, -21.0, 0.0 ]
[ 431.0, -20.0, 0.0 ]
[ 430.0, -19.0, 0.0 ]
[ 430.0, -18.0, 0.0 ]
[ 430.0, -17.0, 0.0 ]
[ 430.0, -16.0, 0.0 ]
[ 429.0, -15.0, 0.0 ]
[ 429.0, -14.0, 0.0 ]
[ 428.0, -13.0, 0.0 ]
[ 428.0, -12.0, 0.0 ]
[ 427.0, -11.0, 0.0 ]
[ 427.0, -10.0, 0.0 ]
[ 426.0, -9.0, 0.0 ]
[ 425.0, -8.0, 0.0 ]
[ 425.0, -7.0, 0.0 ]
[ 424.0, -6.0, 0.0 ]
[ 423.0, -6.0, 0.0 ]
[ 422.0, -5.0, 0.0 ]
[ 421.0, -4.0, 0.0 ]
[ 420.0, -4.0, 0.0 ]
[ 419.0, -3.0, 0.0 ]
[ 418.0, -3.0, 0.0 ]
[ 417.0, -2.0, 0.0 ]
[ 416.0, -2.0, 0.0 ]
[ 415.0, -1.0, 0.0 ]
[ 414.0, -1.0, 0.0 ]
[ 413.0, -1.0, 0.0 ]
[ 412.0, -1.0, 0.0 ]
[ 411.0, -1.0, 0.0 ]
[ 410.0, -1.0, 0.0 ]
[ 409.0, -1.0, 0.0 ]
[ 408.0, -1.0, 0.0 ]
[ 407.0, -1.0, 0.0 ]
[ 406.0, -1.0, 0.0 ]
[ 405.0, -1.0, 0.0 ]
[ 404.0, -1.0, 0.0 ]
[ 403.0, -1.0, 0.0 ]
[ 402.0, -1.0, 0.0 ]
[ 401.0, -1.0, 0.0 ]
[ 400.0, -2.0, 0.0 ]
[ 399.0, -2.0, 0.0 ]
[ 398.0, -2.0, 0.0 ]
[ 397.0, -3.0, 0.0 ]
[ 396.0, -3.0, 0.0 ]
[ 395.0, -4.0, 0.0 ]
[ 394.0, -5.0, 0.0 ]
[ 393.0, -5.0, 0.0 ]
[ 392.0, -6.0, 0.0 ]
[ 391.0, -7.0, 0.0 ]
[ 390.0, -8.0, 0.0 ]
[ 389.0, -9.0, 0.0 ]
[ 389.0, -10.0, 0.0 ]
[ 388.0, -11.0, 0.0 ]
[ 388.0, -12.0, 0.0 ]
[ 387.0, -13.0, 0.0 ]
[ 387.0, -14.0, 0.0 ]
[ 386.0, -15.0, 0.0 ]
[ 386.0, -16.0, 0.0 ]
[ 386.0, -17.0, 0.0 ]
[ 385.0, -18.0, 0.0 ]
[ 385.0, -19.0, 0.0 ]
[ 385.0, -20.0, 0.0 ]
[ 385.0, -21.0, 0.0 ]
[ 384.0, -22.0, 0.0 ]
[ 384.0, -23.0, 0.0 ]
[ 384.0, -24.0, 0.0 ]
[ 384.0, -25.0, 0.0 ]
[ 384.0, -26.0, 0.0 ]
[ 384.0, -27.0, 0.0 ]
[ 384.0, -28.0, 0.0 ]
[ 384.0, -29.0, 0.0 ]
[ 384.0, -30.0, 0.0 ]
[ 384.0, -31.0, 0.0 ]
[ 384.0, -32.0, 0.0 ]
[ 384.0, -33.0, 0.0 ]
[ 385.0, -34.0, 0.0 ]
[ 385.0, -35.0, 0.0 ]
[ 385.0, -36.0, 0.0 ]
[ 385.0, -37.0, 0.0 ]
[ 386.0, -38.0, 0.0 ]
[ 386.0, -39.0, 0.0 ]
[ 386.0, -40.0, 0.0 ]
[ 387.0, -41.0, 0.0 ]
[ 387.0, -42.0, 0.0 ]
[ 388.0, -43.0, 0.0 ]
[ 388.0, -44.0, 0.0 ]
[ 389.0, -45.0, 0.0 ]
[ 390.0, -46.0, 0.0 ]
[ 390.0, -47.0, 0.0 ]
[ 391.0, -48.0, 0.0 ]
[ 392.0, -49.0, 0.0 ]
[ 393.0, -49.0, 0.0 ]
[ 394.0, -50.0, 0.0 ]
[ 395.0, -51.0, 0.0 ]
[ 396.0, -51.0, 0.0 ]
[ 397.0, -52.0, 0.0 ]
[ 398.0, -52.0, 0.0 ]
[ 399.0, -53.0, 0.0 ]
[ 400.0, -53.0, 0.0 ]
[ 401.0, -53.0, 0.0 ]
[ 402.0, -53.0, 0.0 ]
[ 403.0, -54.0, 0.0 ]
[ 404.0, -54.0, 0.0 ]
[ 405.0, -54.0, 0.0 ]
[ 406.0, -54.0, 0.0 ]
[ 407.0, -54.0, 0.0 ]
[ 408.0, -54.0, 0.0 ]
[ 409.0, -54.0, 0.0 ]
[ 410.0, -54.0, 0.0 ]
[ 411.0, -54.0, 0.0 ]
[ 412.0, -54.0, 0.0 ]
[ 413.0, -53.0, 0.0 ]
[ 414.0, -53.0, 0.0 ]
[ 415.0, -53.0, 0.0 ]
[ 416.0, -53.0, 0.0 ]
[ 417.0, -52.0, 0.0 ]
