[ 375.0, -39.0, 0.0 ]
[ 375.0, -40.0, 0.0 ]
[ 375.0, -41.0, 0.0 ]
[ 375.0, -42.0, 0.0 ]
[ 374.0, -43.0, 0.0 ]
[ 374.0, -44.0, 0.0 ]
[ 374.0, -45.0, 0.0 ]
[ 373.0, -46.0, 0.0 ]
[ 373.0, -47.0, 0.0 ]
[ 373.0, -48.0, 0.0 ]
[ 372.0, -49.0, 0.0 ]
[ 372.0, -50.0, 0.0 ]
[ 372.0, -51.0, 0.0 ]
[ 371.0, -52.0, 0.0 ]
[ 371.0, -53.0, 0.0 ]
[ 370.0, -53.0, 0.0 ]
[ 369.0, -53.0, 0.0 ]
[ 368.0, -53.0, 0.0 ]
[ 367.0, -53.0, 0.0 ]
[ 366.0, -53.0, 0.0 ]
[ 365.0, -53.0, 0.0 ]
[ 364.0, -53.0, 0.0 ]
[ 364.0, -52.0, 0.0 ]
[ 363.0, -51.0, 0.0 ]
[ 363.0, -50.0, 0.0 ]
[ 363.0, -49.0, 0.0 ]
[ 362.0, -48.0, 0.0 ]
[ 362.0, -47.0, 0.0 ]
[ 362.0, -46.0, 0.0 ]
[ 361.0, -45.0, 0.0 ]
[ 361.0, -44.0, 0.0 ]
[ 361.0, -43.0, 0.0 ]
[ 360.0, -42.0, 0.0 ]
[ 360.0, -41.0, 0.0 ]
[ 360.0, -40.0, 0.0 ]
[ 359.0, -39.0, 0.0 ]
[ 359.0, -38.0, 0.0 ]
[ 359.0, -37.0, 0.0 ]
[ 358.0, -36.0, 0.0 ]
[ 358.0, -35.0, 0.0 ]
[ 358.0, -34.0, 0.0 ]
[ 358.0, -33.0, 0.0 ]
[ 357.0, -32.0, 0.0 ]
[ 357.0, -31.0, 0.0 ]
[ 357.0, -30.0, 0.0 ]
[ 356.0, -29.0, 0.0 ]
[ 356.0, -28.0, 0.0 ]
[ 356.0, -27.0, 0.0 ]
[ 355.0, -26.0, 0.0 ]
[ 355.0, -25.0, 0.0 ]
[ 355.0, -24.0, 0.0 ]
[ 354.0, -23.0, 0.0 ]
[ 354.0, -22.0, 0.0 ]
[ 354.0, -21.0, 0.0 ]
[ 353.0, -20.0, 0.0 ]
[ 353.0, -19.0, 0.0 ]
[ 353.0, -18.0, 0.0 ]
[ 352.0, -17.0, 0.0 ]
[ 352.0, -16.0, 0.0 ]
[ 352.0, -15.0, 0.0 ]
[ 352.0, -14.0, 0.0 ]
[ 351.0, -13.0, 0.0 ]
[ 351.0, -12.0, 0.0 ]
[ 351.0, -11.0, 0.0 ]
[ 351.0, -10.0, 0.0 ]
[ 351.0, -9.0, 0.0 ]
[ 350.0, -8.0, 0.0 ]
[ 349.0, -8.0, 0.0 ]
[ 348.0, -9.0, 0.0 ]
[ 348.0, -10.0, 0.0 ]
[ 348.0, -11.0, 0.0 ]
[ 348.0, -12.0, 0.0 ]
[ 347.0, -13.0, 0.0 ]
[ 347.0, -14.0, 0.0 ]
[ 347.0, -15.0, 0.0 ]
[ 347.0, -16.0, 0.0 ]
[ 346.0, -17.0, 0.0 ]
[ 346.0, -18.0, 0.0 ]
[ 346.0, -19.0, 0.0 ]
[ 346.0, -20.0, 0.0 ]
[ 346.0, -21.0, 0.0 ]
[ 345.0, -22.0, 0.0 ]
[ 345.0, -23.0, 0.0 ]
[ 345.0, -24.0, 0.0 ]
[ 344.0, -25.0, 0.0 ]
[ 344.0, -26.0, 0.0 ]
[ 344.0, -27.0, 0.0 ]
[ 344.0, -28.0, 0.0 ]
[ 343.0, -29.0, 0.0 ]
[ 343.0, -30.0, 0.0 ]
[ 343.0, -31.0, 0.0 ]
[ 343.0, -32.0, 0.0 ]
[ 342.0, -33.0, 0.0 ]
[ 342.0, -34.0, 0.0 ]
[ 342.0, -35.0, 0.0 ]
[ 342.0, -36.0, 0.0 ]
[ 341.0, -37.0, 0.0 ]
[ 341.0, -38.0, 0.0 ]
[ 341.0, -39.0, 0.0 ]
[ 341.0, -40.0, 0.0 ]
[ 340.0, -41.0, 0.0 ]
[ 340.0, -42.0, 0.0 ]
[ 340.0, -43.0, 0.0 ]
[ 340.0, -44.0, 0.0 ]
[ 339.0, -45.0, 0.0 ]
[ 339.0, -46.0, 0.0 ]
[ 339.0, -47.0, 0.0 ]
[ 339.0, -48.0, 0.0 ]
[ 338.0, -49.0, 0.0 ]
[ 338.0, -50.0, 0.0 ]
[ 338.0, -51.0, 0.0 ]
[ 338.0, -52.0, 0.0 ]
[ 337.0, -53.0, 0.0 ]
[ 336.0, -53.0, 0.0 ]
[ 335.0, -53.0, 0.0 ]
[ 334.0, -53.0, 0.0 ]
[ 333.0, -53.0, 0.0 ]
[ 332.0, -53.0, 0.0 ]
[ 331.0, -53.0, 0.0 ]
[ 331.0, -52.0, 0.0 ]
[ 332.0, -51.0, 0.0 ]
[ 332.0, -50.0, 0.0 ]
[ 332.0, -49.0, 0.0 ]
[ 332.0, -48.0, 0.0 ]
[ 333.0, -47.0, 0.0 ]
[ 333.0, -46.0, 0.0 ]
[ 333.0, -45.0, 0.0 ]
[ 333.0, -44.0, 0.0 ]
[ 334.0, -43.0, 0.0 ]
[ 334.0, -42.0, 0.0 ]
[ 334.0, -41.0, 0.0 ]
[ 335.0, -40.0, 0.0 ]
[ 335.0, -39.0, 0.0 ]
[ 335.0, -38.0, 0.0 ]
[ 335.0, -37.0, 0.0 ]
[ 336.0, -36.0, 0.0 ]
[ 336.0, -35.0, 0.0 ]
[ 336.0, -34.0, 0.0 ]
[ 336.0, -33.0, 0.0 ]
[ 337.0, -32.0, 0.0 ]
[ 337.0, -31.0, 0.0 ]
[ 337.0, -30.0, 0.0 ]
[ 338.0, -29.0, 0.0 ]
[ 338.0, -28.0, 0.0 ]
[ 338.0, -27.0, 0.0 ]
[ 338.0, -26.0, 0.0 ]
[ 339.0, -25.0, 0.0 ]
[ 339.0, -24.0, 0.0 ]
[ 339.0, -23.0, 0.0 ]
[ 339.0, -22.0, 0.0 ]
[ 340.0, -21.0, 0.0 ]
[ 340.0, -20.0, 0.0 ]
[ 340.0, -19.0, 0.0 ]
[ 341.0, -18.0, 0.0 ]
[ 341.0, -17.0, 0.0 ]
[ 341.0, -16.0, 0.0 ]
[ 341.0, -15.0, 0.0 ]
[ 342.0, -14.0, 0.0 ]
[ 342.0, -13.0, 0.0 ]
[ 342.0, -12.0, 0.0 ]
[ 342.0, -11.0, 0.0 ]
[ 343.0, -10.0, 0.0 ]
[ 343.0, -9.0, 0.0 ]
[ 343.0, -8.0, 0.0 ]
[ 344.0, -7.0, 0.0 ]
[ 344.0, -6.0, 0.0 ]
[ 344.0, -5.0, 0.0 ]
[ 344.0, -4.0, 0.0 ]
[ 345.0, -3.0, 0.0 ]
[ 345.0, -2.0, 0.0 ]
[ 345.0, -1.0, 0.0 ]
[ 346.0, -1.0, 0.0 ]
[ 347.0, -1.0, 0.0 ]
[ 348.0, -1.0, 0.0 ]
