[ 241.0, -22.0, 0.0 ]
[ 242.0, -21.0, 0.0 ]
[ 242.0, -20.0, 0.0 ]
[ 242.0, -19.0, 0.0 ]
[ 243.0, -18.0, 0.0 ]
[ 243.0, -17.0, 0.0 ]
[ 244.0, -16.0, 0.0 ]
[ 244.0, -15.0, 0.0 ]
[ 245.0, -14.0, 0.0 ]
[ 246.0, -13.0, 0.0 ]
[ 246.0, -12.0, 0.0 ]
[ 247.0, -11.0, 0.0 ]
[ 248.0, -10.0, 0.0 ]
[ 249.0, -9.0, 0.0 ]
[ 250.0, -8.0, 0.0 ]
[ 251.0, -7.0, 0.0 ]
[ 252.0, -6.0, 0.0 ]
[ 253.0, -5.0, 0.0 ]
[ 254.0, -5.0, 0.0 ]
[ 255.0, -4.0, 0.0 ]
[ 256.0, -4.0, 0.0 ]
[ 257.0, -3.0, 0.0 ]
[ 258.0, -3.0, 0.0 ]
[ 259.0, -3.0, 0.0 ]
[ 260.0, -2.0, 0.0 ]
[ 261.0, -2.0, 0.0 ]
[ 262.0, -2.0, 0.0 ]
[ 263.0, -1.0, 0.0 ]
[ 264.0, -1.0, 0.0 ]
[ 265.0, -1.0, 0.0 ]
[ 266.0, -1.0, 0.0 ]
[ 267.0, -1.0, 0.0 ]
[ 268.0, -1.0, 0.0 ]
[ 269.0, -1.0, 0.0 ]
[ 270.0, -1.0, 0.0 ]
[ 271.0, -1.0, 0.0 ]
[ 272.0, -1.0, 0.0 ]
[ 273.0, -1.0, 0.0 ]
[ 274.0, -1.0, 0.0 ]
[ 275.0, -1.0, 0.0 ]
[ 276.0, -1.0, 0.0 ]
[ 277.0, -1.0, 0.0 ]
[ 278.0, -1.0, 0.0 ]
[ 279.0, -1.0, 0.0 ]
[ 280.0, -1.0, 0.0 ]
[ 281.0, -2.0, 0.0 ]
[ 282.0, -2.0, 0.0 ]
[ 283.0, -2.0, 0.0 ]
[ 284.0, -3.0, 0.0 ]
[ 285.0, -3.0, 0.0 ]
[ 286.0, -3.0, 0.0 ]
[ 287.0, -4.0, 0.0 ]
[ 288.0, -4.0, 0.0 ]
[ 289.0, -5.0, 0.0 ]
[ 290.0, -6.0, 0.0 ]
[ 291.0, -6.0, 0.0 ]
[ 292.0, -7.0, 0.0 ]
[ 293.0, -8.0, 0.0 ]
[ 294.0, -9.0, 0.0 ]
[ 295.0, -10.0, 0.0 ]
[ 296.0, -11.0, 0.0 ]
[ 296.0, -12.0, 0.0 ]
[ 297.0, -13.0, 0.0 ]
[ 298.0, -14.0, 0.0 ]
[ 298.0, -15.0, 0.0 ]
[ 299.0, -16.0, 0.0 ]
[ 299.0, -17.0, 0.0 ]
[ 300.0, -18.0, 0.0 ]
[ 300.0, -19.0, 0.0 ]
[ 301.0, -20.0, 0.0 ]
[ 301.0, -21.0, 0.0 ]
[ 301.0, -22.0, 0.0 ]
[ 302.0, -23.0, 0.0 ]
[ 302.0, -24.0, 0.0 ]
[ 302.0, -25.0, 0.0 ]
[ 302.0, -26.0, 0.0 ]
[ 296.0, -26.0, 0.0 ]
[ 296.0, -27.0, 0.0 ]
[ 296.0, -28.0, 0.0 ]
[ 296.0, -29.0, 0.0 ]
[ 296.0, -30.0, 0.0 ]
[ 296.0, -31.0, 0.0 ]
[ 296.0, -32.0, 0.0 ]
[ 296.0, -33.0, 0.0 ]
[ 296.0, -34.0, 0.0 ]
[ 296.0, -35.0, 0.0 ]
[ 296.0, -36.0, 0.0 ]
[ 296.0, -37.0, 0.0 ]
[ 296.0, -38.0, 0.0 ]
[ 296.0, -39.0, 0.0 ]
[ 296.0, -40.0, 0.0 ]
[ 296.0, -41.0, 0.0 ]
[ 296.0, -42.0, 0.0 ]
[ 296.0, -43.0, 0.0 ]
[ 296.0, -44.0, 0.0 ]
[ 296.0, -45.0, 0.0 ]
[ 296.0, -46.0, 0.0 ]
[ 296.0, -47.0, 0.0 ]
[ 295.0, -48.0, 0.0 ]
[ 295.0, -49.0, 0.0 ]
[ 295.0, -50.0, 0.0 ]
[ 294.0, -51.0, 0.0 ]
[ 294.0, -52.0, 0.0 ]
[ 294.0, -53.0, 0.0 ]
[ 293.0, -54.0, 0.0 ]
[ 293.0, -55.0, 0.0 ]
[ 292.0, -56.0, 0.0 ]
[ 292.0, -57.0, 0.0 ]
[ 291.0, -58.0, 0.0 ]
[ 290.0, -59.0, 0.0 ]
[ 289.0, -60.0, 0.0 ]
[ 288.0, -61.0, 0.0 ]
[ 287.0, -62.0, 0.0 ]
[ 286.0, -63.0, 0.0 ]
[ 285.0, -63.0, 0.0 ]
[ 284.0, -64.0, 0.0 ]
[ 283.0, -64.0, 0.0 ]
[ 282.0, -65.0, 0.0 ]
[ 281.0, -65.0, 0.0 ]
[ 280.0, -66.0, 0.0 ]
[ 279.0, -66.0, 0.0 ]
[ 278.0, -66.0, 0.0 ]
[ 277.0, -66.0, 0.0 ]
[ 276.0, -66.0, 0.0 ]
[ 275.0, -66.0, 0.0 ]
[ 274.0, -67.0, 0.0 ]
[ 273.0, -67.0, 0.0 ]
[ 272.0, -67.0, 0.0 ]
[ 271.0, -67.0, 0.0 ]
[ 270.0, -67.0, 0.0 ]
[ 269.0, -67.0, 0.0 ]
[ 268.0, -66.0, 0.0 ]
