[ 352.0, -56.0, 0.0 ]
[ 351.0, -57.0, 0.0 ]
[ 351.0, -58.0, 0.0 ]
[ 351.0, -59.0, 0.0 ]
[ 351.0, -60.0, 0.0 ]
[ 351.0, -61.0, 0.0 ]
[ 351.0, -62.0, 0.0 ]
[ 351.0, -63.0, 0.0 ]
[ 351.0, -64.0, 0.0 ]
[ 351.0, -65.0, 0.0 ]
[ 351.0, -66.0, 0.0 ]
[ 351.0, -67.0, 0.0 ]
[ 351.0, -68.0, 0.0 ]
[ 351.0, -69.0, 0.0 ]
[ 351.0, -70.0, 0.0 ]
[ 351.0, -71.0, 0.0 ]
[ 351.0, -72.0, 0.0 ]
[ 351.0, -73.0, 0.0 ]
[ 351.0, -74.0, 0.0 ]
[ 351.0, -75.0, 0.0 ]
[ 351.0, -76.0, 0.0 ]
[ 351.0, -77.0, 0.0 ]
[ 351.0, -78.0, 0.0 ]
[ 351.0, -79.0, 0.0 ]
[ 351.0, -80.0, 0.0 ]
[ 351.0, -81.0, 0.0 ]
[ 351.0, -82.0, 0.0 ]
[ 351.0, -83.0, 0.0 ]
[ 351.0, -84.0, 0.0 ]
[ 351.0, -85.0, 0.0 ]
[ 351.0, -86.0, 0.0 ]
[ 351.0, -87.0, 0.0 ]
[ 351.0, -88.0, 0.0 ]
[ 351.0, -89.0, 0.0 ]
[ 351.0, -90.0, 0.0 ]
[ 351.0, -91.0, 0.0 ]
[ 351.0, -92.0, 0.0 ]
[ 351.0, -93.0, 0.0 ]
[ 351.0, -94.0, 0.0 ]
[ 351.0, -95.0, 0.0 ]
[ 351.0, -96.0, 0.0 ]
[ 351.0, -97.0, 0.0 ]
[ 351.0, -98.0, 0.0 ]
[ 351.0, -99.0, 0.0 ]
[ 352.0, -100.0, 0.0 ]
[ 353.0, -100.0, 0.0 ]
[ 354.0, -100.0, 0.0 ]
[ 355.0, -100.0, 0.0 ]
[ 356.0, -100.0, 0.0 ]
[ 357.0, -100.0, 0.0 ]
[ 358.0, -100.0, 0.0 ]
[ 359.0, -100.0, 0.0 ]
[ 360.0, -100.0, 0.0 ]
[ 361.0, -100.0, 0.0 ]
[ 362.0, -100.0, 0.0 ]
[ 363.0, -100.0, 0.0 ]
[ 364.0, -100.0, 0.0 ]
[ 365.0, -100.0, 0.0 ]
[ 366.0, -100.0, 0.0 ]
[ 367.0, -100.0, 0.0 ]
[ 368.0, -100.0, 0.0 ]
[ 369.0, -100.0, 0.0 ]
[ 370.0, -100.0, 0.0 ]
[ 371.0, -100.0, 0.0 ]
[ 372.0, -100.0, 0.0 ]
[ 373.0, -100.0, 0.0 ]
[ 374.0, -100.0, 0.0 ]
[ 375.0, -99.0, 0.0 ]
[ 376.0, -99.0, 0.0 ]
[ 377.0, -99.0, 0.0 ]
[ 378.0, -99.0, 0.0 ]
[ 379.0, -99.0, 0.0 ]
[ 380.0, -99.0, 0.0 ]
[ 381.0, -99.0, 0.0 ]
[ 382.0, -99.0, 0.0 ]
[ 383.0, -99.0, 0.0 ]
[ 384.0, -98.0, 0.0 ]
[ 385.0, -98.0, 0.0 ]
[ 386.0, -97.0, 0.0 ]
[ 387.0, -96.0, 0.0 ]
[ 388.0, -95.0, 0.0 ]
[ 389.0, -94.0, 0.0 ]
[ 390.0, -93.0, 0.0 ]
[ 391.0, -92.0, 0.0 ]
[ 392.0, -91.0, 0.0 ]
[ 392.0, -90.0, 0.0 ]
[ 393.0, -89.0, 0.0 ]
[ 394.0, -88.0, 0.0 ]
[ 394.0, -87.0, 0.0 ]
[ 395.0, -86.0, 0.0 ]
[ 395.0, -85.0, 0.0 ]
[ 396.0, -84.0, 0.0 ]
[ 396.0, -83.0, 0.0 ]
[ 397.0, -82.0, 0.0 ]
[ 397.0, -81.0, 0.0 ]
[ 397.0, -80.0, 0.0 ]
[ 398.0, -80.0, 0.0 ]
[ 399.0, -80.0, 0.0 ]
[ 400.0, -80.0, 0.0 ]
[ 401.0, -80.0, 0.0 ]
[ 401.0, -81.0, 0.0 ]
[ 401.0, -82.0, 0.0 ]
[ 401.0, -83.0, 0.0 ]
[ 401.0, -84.0, 0.0 ]
[ 401.0, -85.0, 0.0 ]
[ 401.0, -86.0, 0.0 ]
[ 401.0, -87.0, 0.0 ]
[ 401.0, -88.0, 0.0 ]
[ 401.0, -89.0, 0.0 ]
[ 401.0, -90.0, 0.0 ]
[ 401.0, -91.0, 0.0 ]
[ 401.0, -92.0, 0.0 ]
[ 401.0, -93.0, 0.0 ]
[ 401.0, -94.0, 0.0 ]
[ 401.0, -95.0, 0.0 ]
[ 401.0, -96.0, 0.0 ]
[ 401.0, -97.0, 0.0 ]
[ 401.0, -98.0, 0.0 ]
[ 401.0, -99.0, 0.0 ]
[ 401.0, -100.0, 0.0 ]
[ 401.0, -101.0, 0.0 ]
[ 401.0, -102.0, 0.0 ]
[ 401.0, -103.0, 0.0 ]
[ 400.0, -103.0, 0.0 ]
[ 399.0, -103.0, 0.0 ]
[ 398.0, -103.0, 0.0 ]
[ 397.0, -103.0, 0.0 ]
[ 396.0, -103.0, 0.0 ]
[ 395.0, -103.0, 0.0 ]
[ 394.0, -103.0, 0.0 ]
[ 393.0, -103.0, 0.0 ]
[ 392.0, -103.0, 0.0 ]
[ 391.0, -103.0, 0.0 ]
[ 390.0, -103.0, 0.0 ]
[ 389.0, -103.0, 0.0 ]
[ 388.0, -103.0, 0.0 ]
[ 387.0, -103.0, 0.0 ]
[ 386.0, -103.0, 0.0 ]
[ 385.0, -103.0, 0.0 ]
[ 384.0, -103.0, 0.0 ]
[ 383.0, -103.0, 0.0 ]
[ 382.0, -103.0, 0.0 ]
[ 381.0, -103.0, 0.0 ]
[ 380.0, -103.0, 0.0 ]
[ 379.0, -103.0, 0.0 ]
[ 378.0, -103.0, 0.0 ]
[ 377.0, -103.0, 0.0 ]
[ 376.0, -103.0, 0.0 ]
[ 375.0, -103.0, 0.0 ]
[ 374.0, -103.0, 0.0 ]
[ 373.0, -103.0, 0.0 ]
[ 372.0, -103.0, 0.0 ]
[ 371.0, -103.0, 0.0 ]
[ 370.0, -103.0, 0.0 ]
[ 369.0, -103.0, 0.0 ]
[ 368.0, -103.0, 0.0 ]
[ 367.0, -103.0, 0.0 ]
[ 366.0, -103.0, 0.0 ]
[ 365.0, -103.0, 0.0 ]
[ 364.0, -103.0, 0.0 ]
[ 363.0, -103.0, 0.0 ]
[ 362.0, -103.0, 0.0 ]
[ 361.0, -103.0, 0.0 ]
[ 360.0, -103.0, 0.0 ]
[ 359.0, -103.0, 0.0 ]
[ 358.0, -103.0, 0.0 ]
[ 357.0, -103.0, 0.0 ]
[ 356.0, -103.0, 0.0 ]
[ 355.0, -103.0, 0.0 ]
[ 354.0, -103.0, 0.0 ]
[ 353.0, -103.0, 0.0 ]
[ 352.0, -103.0, 0.0 ]
[ 351.0, -103.0, 0.0 ]
[ 350.0, -103.0, 0.0 ]
[ 349.0, -103.0, 0.0 ]
[ 348.0, -103.0, 0.0 ]
[ 347.0, -103.0, 0.0 ]
[ 346.0, -103.0, 0.0 ]
[ 345.0, -103.0, 0.0 ]
[ 344.0, -103.0, 0.0 ]
[ 343.0, -103.0, 0.0 ]
[ 342.0, -103.0, 0.0 ]
[ 341.0, -103.0, 0.0 ]
[ 340.0, -103.0, 0.0 ]
[ 339.0, -103.0, 0.0 ]
[ 338.0, -103.0, 0.0 ]
[ 337.0, -103.0, 0.0 ]
[ 336.0, -103.0, 0.0 ]
[ 335.0, -103.0, 0.0 ]
[ 334.0, -103.0, 0.0 ]
[ 333.0, -103.0, 0.0 ]
[ 332.0, -103.0, 0.0 ]
[ 331.0, -103.0, 0.0 ]
[ 330.0, -103.0, 0.0 ]
[ 329.0, -103.0, 0.0 ]
[ 328.0, -103.0, 0.0 ]
[ 327.0, -103.0, 0.0 ]
[ 326.0, -103.0, 0.0 ]
[ 325.0, -103.0, 0.0 ]
[ 324.0, -103.0, 0.0 ]
[ 323.0, -103.0, 0.0 ]
[ 322.0, -103.0, 0.0 ]
[ 322.0, -102.0, 0.0 ]
[ 322.0, -101.0, 0.0 ]
[ 322.0, -100.0, 0.0 ]
[ 323.0, -100.0, 0.0 ]
[ 324.0, -100.0, 0.0 ]
[ 325.0, -100.0, 0.0 ]
